# mfp(m) k_l(Wm-1K-1)
1.551353061569968179e-17 8.279990137562343707e-21
1.553281205366971854e-17 8.286622905985489832e-21
1.557676614717019539e-17 8.386769969736708057e-21
1.582994403466131184e-17 8.598024505333616668e-21
1.585072428951744244e-17 8.700240664209169778e-21
1.609583050924587354e-17 8.956675439273086691e-21
1.617047313621639470e-17 9.124188431330358546e-21
1.631899169831158378e-17 9.610247385897731024e-21
1.644853503816634457e-17 9.626294659405381034e-21
1.645784494139690690e-17 9.928812092390091280e-21
1.658047920958251144e-17 1.030795965706266128e-20
1.671400614987196014e-17 1.031289346032487995e-20
1.689173902115258589e-17 1.054624409154677909e-20
1.695136396413250958e-17 1.081439953160890066e-20
1.695969963797209610e-17 1.093626224801329449e-20
1.698484564027140747e-17 1.113692824992026762e-20
1.737416613999472523e-17 1.167878844600736954e-20
1.739813280031629923e-17 1.170057256583478056e-20
1.743879299113739303e-17 1.179698377534506575e-20
1.759033228618241463e-17 1.180446430445199478e-20
1.759418302186777796e-17 1.188289555628506956e-20
1.771858128510767309e-17 1.201072936187522885e-20
1.780715876887410729e-17 1.210011306043764990e-20
1.814677541753141017e-17 1.220698496034334106e-20
1.819361693239838079e-17 1.255528589282061639e-20
1.824671181193516312e-17 1.314680781291377020e-20
1.825750036976414348e-17 1.325798238799604065e-20
1.827862464665721286e-17 1.329440862537018689e-20
1.851711501294577008e-17 1.342007396363774066e-20
1.859963072355440345e-17 1.404168756102849049e-20
1.860079837753761711e-17 1.419343632834778396e-20
1.863759516533046177e-17 1.436234694335798270e-20
1.874286562812462477e-17 1.449889867809001140e-20
1.890252728172963607e-17 1.451880694602388507e-20
1.893775443017345556e-17 1.508669433972381100e-20
1.904305720757423436e-17 1.525471880278312456e-20
1.910602175912570284e-17 1.525964800510223686e-20
1.933697686301665969e-17 1.545003031029759343e-20
1.935408392637381158e-17 1.559060428618627403e-20
1.938757492556858683e-17 1.631651785845550006e-20
1.940808220689667305e-17 1.635650339472458136e-20
1.942630553369562890e-17 1.637393409374576348e-20
1.942806727993144741e-17 1.638314352968468633e-20
1.950164909474095621e-17 1.640215596039074353e-20
1.959926166494077241e-17 1.659264407285492230e-20
1.963434013213086062e-17 1.676683741436441171e-20
1.974273303726701539e-17 1.689893297084371991e-20
1.985093404250706885e-17 1.724472052242813103e-20
1.986001547557452290e-17 1.792318202680532465e-20
1.987015098864689109e-17 1.861133347080066046e-20
2.004507094586977451e-17 1.876260727560550343e-20
2.019993291567260652e-17 1.887162291157807253e-20
2.025028519844553541e-17 1.904923909148515780e-20
2.026070713238108430e-17 1.922415961769282776e-20
2.032170406132598500e-17 2.002528462763740711e-20
2.085412847963675114e-17 2.009597737026848007e-20
2.089866551129995971e-17 2.026679651677528333e-20
2.096898418426182055e-17 2.045121072516387686e-20
2.099628685457752109e-17 2.065022820089225408e-20
2.103570126709241819e-17 2.081672488133494827e-20
2.113043583183430594e-17 2.122072237205841438e-20
2.114325093791815808e-17 2.142608369908399861e-20
2.116306752822990591e-17 2.143420146364744526e-20
2.120519889525260610e-17 2.162703927038758584e-20
2.127857791654750042e-17 2.165779567525564221e-20
2.142408202093268239e-17 2.176927338267864858e-20
2.149369374607420544e-17 2.177970062700919211e-20
2.152267880626405678e-17 2.178891187852408511e-20
2.171341416596981986e-17 2.269107409238392980e-20
2.184274233513050843e-17 2.289167952583586489e-20
2.188201847475026551e-17 2.306751355814515362e-20
2.198208390849564291e-17 2.307810769674055424e-20
2.222771999139994342e-17 2.327502901138195505e-20
2.226058198388793157e-17 2.374126330098097700e-20
2.235913817615255987e-17 2.454013878731825803e-20
2.238333309832015445e-17 2.474574193737457235e-20
2.240719220894871850e-17 2.572487429571005525e-20
2.243075300601828987e-17 2.592351350414418466e-20
2.279166661438952168e-17 2.593596321262765670e-20
2.283493018067047977e-17 2.610102952365112926e-20
2.293825809248184281e-17 2.629326831318880577e-20
2.299955881672769190e-17 2.637159079018807740e-20
2.307058914751653815e-17 2.691549610341181227e-20
2.309163238225645938e-17 2.708872544832730627e-20
2.316478771427256934e-17 2.728862629726942824e-20
2.345615848039977655e-17 2.729917902465332974e-20
2.357660223153867250e-17 2.756980240265789503e-20
2.360992935200012585e-17 2.777889020412065287e-20
2.364965836330001094e-17 2.783851425260451296e-20
2.376920696384804187e-17 2.810679602458593844e-20
2.381671020103745951e-17 2.834924568813651798e-20
2.387429089934883257e-17 2.855112108067140421e-20
2.399682407715417944e-17 2.864260582739271907e-20
2.410660429862977800e-17 2.885076651410023261e-20
2.412249590674323319e-17 2.892313770321709341e-20
2.413441365129839901e-17 2.914398938083142323e-20
2.418473996238208245e-17 2.915141863345747905e-20
2.434327579218790490e-17 2.936084379310854920e-20
2.454295927197457540e-17 2.965959833261530915e-20
2.459790535561897347e-17 2.993143834410783603e-20
2.462863140454225999e-17 3.018061435240064496e-20
2.472211623089160924e-17 3.114514689685680284e-20
2.484968590306978735e-17 3.228195748490914018e-20
2.498107529124134349e-17 3.243888177414384264e-20
2.513892328941293234e-17 3.330032961916139805e-20
2.525658103563120171e-17 3.389284243601143384e-20
2.528795880384425065e-17 3.420425937843259304e-20
2.546993380371010669e-17 3.448768352962488860e-20
2.548013527286358242e-17 3.456911331321284897e-20
2.550195026567621038e-17 3.487780756209579473e-20
2.561348034510135689e-17 3.492308038530338046e-20
2.570747658538288977e-17 3.518405491559294824e-20
2.577818701909421092e-17 3.617188745343385834e-20
2.580279098246761809e-17 3.627094016131022830e-20
2.617400351163689104e-17 3.636719767604288028e-20
2.634006233069627602e-17 3.640990388000028882e-20
2.634460389854533120e-17 3.661182205908297299e-20
2.636306533177297011e-17 3.770088854119305406e-20
2.639253449958017623e-17 3.796758456670776951e-20
2.646414313270315198e-17 3.922702568151746224e-20
2.650241077761892837e-17 3.984290768931730582e-20
2.653485513069057469e-17 4.120848335119730857e-20
2.659202246479315680e-17 4.153953985373026079e-20
2.663047957233354083e-17 4.155627035683591345e-20
2.683553459390098968e-17 4.184092705013903670e-20
2.699839704886449374e-17 4.211183214884490791e-20
2.700307895910742616e-17 4.285087967498393861e-20
2.719068136639109712e-17 4.311940124779574894e-20
2.720561879819264899e-17 4.420479323779276566e-20
2.740264697653584030e-17 4.555128669094551236e-20
2.742261049193516629e-17 4.703426380735328085e-20
2.756287317828343587e-17 4.764234094213461880e-20
2.763307467951946368e-17 4.796691040140934938e-20
2.763567615329328246e-17 4.828127386942691481e-20
2.764121262635778129e-17 4.851399507029547569e-20
2.772930816849438000e-17 4.876945414730623194e-20
2.778658525161876839e-17 4.905445138760898161e-20
2.786722119606207773e-17 4.927196319129146690e-20
2.793603569011091782e-17 4.947207769659263981e-20
2.793649163129539548e-17 4.975455099055271942e-20
2.796534033571739271e-17 5.043798319672688687e-20
2.803360297122342511e-17 5.181414047447166105e-20
2.807269152002360127e-17 5.184282580568198696e-20
2.811188921838337791e-17 5.210726647725161359e-20
2.814144592593697986e-17 5.219442551630105183e-20
2.819242162917510638e-17 5.238532069221921728e-20
2.822845108233588528e-17 5.256616863534405161e-20
2.826214797728700095e-17 5.273868668677303904e-20
2.826573490023781996e-17 5.416125946846316290e-20
2.847223330770674495e-17 5.481824119003281477e-20
2.858384657882779805e-17 5.502343450471341666e-20
2.860890629951415896e-17 5.532935431021657317e-20
2.868507479322783772e-17 5.553043250534697480e-20
2.868992391649959472e-17 5.585231103171593563e-20
2.873735129737203607e-17 5.622125023572179000e-20
2.884403839442266406e-17 5.730266845876730874e-20
2.888856141552645548e-17 5.754622973872309005e-20
2.889457684515804662e-17 5.786896673402001397e-20
2.892476376124209599e-17 5.813387003595600517e-20
2.922897778953908939e-17 5.979345451172096361e-20
2.928676400284718341e-17 6.011549386180254401e-20
2.931167745941842084e-17 6.048996485353259689e-20
2.937056696161099834e-17 6.084205285374839775e-20
2.943961112254838388e-17 6.234760316290849760e-20
2.945703289630857022e-17 6.275634481391840143e-20
2.951943700177825494e-17 6.303974912399671833e-20
2.955435439666447413e-17 6.335286528837272227e-20
2.969767178863962570e-17 6.365331743372594013e-20
2.978148492607479475e-17 6.402965609994115313e-20
2.983177232522304447e-17 6.556832497353157610e-20
2.983611691508198978e-17 6.563179276135572821e-20
2.996768286109418423e-17 6.598921190268398774e-20
3.007267691777637062e-17 6.638383028518811019e-20
3.009212776361130519e-17 6.675137583504463700e-20
3.009876687637582756e-17 6.678908676410124635e-20
3.013703797047367808e-17 6.711387880619380668e-20
3.019356511105073784e-17 6.750359570444957733e-20
3.019720350685238060e-17 6.785439431986004241e-20
3.025842789962051988e-17 6.816391602848225323e-20
3.033378811931043332e-17 6.845302677549538425e-20
3.034188499171017806e-17 6.886544249498520462e-20
3.035167183885972787e-17 6.905410650831326774e-20
3.049142666509514402e-17 7.086555387552654571e-20
3.059616359386490964e-17 7.130409564127754887e-20
3.060673850151044323e-17 7.143687110227790979e-20
3.064338514877639744e-17 7.180428530429290930e-20
3.083507396733921459e-17 7.201551980081972575e-20
3.084569358017440359e-17 7.344258845561492299e-20
3.086215724925922131e-17 7.380453915273805659e-20
3.086734061654611147e-17 7.413032553804529435e-20
3.087328335868124339e-17 7.454420481020713863e-20
3.099245628054113275e-17 7.493710084646364379e-20
3.103869588082884453e-17 7.534265276477049518e-20
3.107431994472942578e-17 7.570442884285220020e-20
3.112994294424490289e-17 7.603691583030657569e-20
3.113120701249825697e-17 7.636612476144121575e-20
3.114687202776698872e-17 7.789023849836435882e-20
3.124279109651043995e-17 7.808111867343430318e-20
3.124958443647396149e-17 7.844815939242157963e-20
3.125453128405439201e-17 7.989964969147919332e-20
3.144802875230958941e-17 8.092713152686298780e-20
3.148429440458476064e-17 8.125505571075624616e-20
3.150332473923481660e-17 8.160534778691291949e-20
3.161234533241192819e-17 8.161673287443844641e-20
3.162571155526014643e-17 8.174976345118090374e-20
3.168241164305722578e-17 8.176900568054364634e-20
3.201391232946487498e-17 8.210918890455500700e-20
3.201626332008555005e-17 8.217380240638714366e-20
3.203611913927998729e-17 8.253875456449529068e-20
3.228326204345050633e-17 8.318780097498327409e-20
3.229805463300539124e-17 8.366196199298888079e-20
3.235864803503976949e-17 8.388520835962458378e-20
