# mfp(m) k_l(Wm-1K-1)
3.292060613740766636e-17 6.497215400725002412e-20
3.315004405334915012e-17 6.525037054243378048e-20
3.321504191413888337e-17 6.574262529177771785e-20
3.330126363018979069e-17 6.753972203798826560e-20
3.347093110077716387e-17 6.810285833550674315e-20
3.370698531193589413e-17 6.887139996714083725e-20
3.378671316625328057e-17 6.947132274566408607e-20
3.381753323273914723e-17 6.967474415124576681e-20
3.383820667083963715e-17 7.003808773663664015e-20
3.447527153871362112e-17 7.041500769912054611e-20
3.469718310037378757e-17 7.048405997944006177e-20
3.477888184777359914e-17 7.060363765060372515e-20
3.496178523127059607e-17 7.099190690424744283e-20
3.496465513397085364e-17 7.207251482184453625e-20
3.517010081657418101e-17 7.229277812671543903e-20
3.518661785717366482e-17 7.300468407337990852e-20
3.520186334517944908e-17 7.321746151122897790e-20
3.562642908306721345e-17 7.443003390485916223e-20
3.585334390591850731e-17 7.740159869542106100e-20
3.594644920940076763e-17 7.764806702773909580e-20
3.600904351000252163e-17 7.903823618070374590e-20
3.651578755540863491e-17 7.958561801910673809e-20
3.655345789532189355e-17 8.054022635362269655e-20
3.686999459877160287e-17 8.089996427042672836e-20
3.690261567512162410e-17 8.264194350528682837e-20
3.714979746307183385e-17 8.417042536726868824e-20
3.724340851705167204e-17 8.420484841552099112e-20
3.753231725958512824e-17 8.459352192963458153e-20
3.754094088959984106e-17 8.531804820779664494e-20
3.762021336996937137e-17 8.602178249729233058e-20
3.801111252802023802e-17 8.615312112475402365e-20
3.819735652416315801e-17 8.626342672837714580e-20
3.834931289481060713e-17 8.761867620902347176e-20
3.838723578966508577e-17 9.007468423370399342e-20
3.851495731497208643e-17 9.039630022054629771e-20
3.851799106473012414e-17 9.050302668740078244e-20
3.862017937535237225e-17 9.172291774173727808e-20
3.873475188242143464e-17 9.548188701729582163e-20
3.884012215121485367e-17 9.583607224811543763e-20
3.899467090992128413e-17 9.944164536947480866e-20
3.910584808763733285e-17 1.019485171053546933e-19
3.927254747892509280e-17 1.033373224193375549e-19
3.935629318386890102e-17 1.047383345988466777e-19
3.944310055786503647e-17 1.067951412540124348e-19
3.948121746593323191e-17 1.080423210426207817e-19
3.955254842638292241e-17 1.089041789199016963e-19
3.996671582924552272e-17 1.111496680550202686e-19
4.003330065255299868e-17 1.112453418443774421e-19
4.041135067099695423e-17 1.114505025040568360e-19
4.053446034043424308e-17 1.115992640991462222e-19
4.092096105349237631e-17 1.142162259700721992e-19
4.106743063110105163e-17 1.160376617093666233e-19
4.130253145290484950e-17 1.175523020451075500e-19
4.131010030143650331e-17 1.182833311049298024e-19
4.135794404347718226e-17 1.188969909669705569e-19
4.144553030653407708e-17 1.200935805194623533e-19
4.171453130676807157e-17 1.241637853638331068e-19
4.178121808269530074e-17 1.268428638571087805e-19
4.179545288727518380e-17 1.271130646547345716e-19
4.203463032625823382e-17 1.284718816542502544e-19
